brand,model,engine_type,fuel,transmission,km,price,year,type
Honda,Prelude e:HEV 2.0 Advance 2026,2.0 ADVANCE,hybrid,Automatic,0.0,1199900,2026.0,autojarov
Škoda,SCALA TOP SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,9845.0,519000,2025.0,autojarov
Škoda,Kamiq Classic 85 kW 6-stup. mech,1.0 TSI,benzín,Manual,0.0,574200,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW,1.0 TSI,benzín,Manual,0.0,554300,2026.0,autojarov
Škoda,SCALA SELECTION 85 kW,1.0 TSI,benzín,Manual,0.0,519300,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,649800,2026.0,autojarov
Honda,"CIVIC 1,8 i VTEC SPORT",1.8 I,benzín,Manual,108984.0,94900,2008.0,autojarov
SEAT,Leon FR 1.5 TSI,1.5 TSI,benzín,Manual,84915.0,409900,2022.0,autojarov
Škoda,OCTAVIA SELECTION 110 kW,1.5 TSI,benzín,Manual,30523.0,579900,2025.0,autojarov
Citroën,CITROEN C4 PICASSO FEEL 7 míst,1.6 HDI,nafta,Manual,159053.0,199900,2016.0,autojarov
SEAT,Leon ST Style 2.0 TDI CR (110 kW) Manuál,2.0 TDI,nafta,Manual,191373.0,189900,2014.0,autojarov
Volkswagen,GOLF R-LINE 6G,2.0 TDI,nafta,Manual,196277.0,259900,2015.0,autojarov
Volkswagen,"T-Roc Life 1,5 eTSI 85 kW 7DSG",1.5 ETSI,benzín,Automatic,0.0,733000,2026.0,autojarov
Škoda,SCALA STYLE 1.5 TSI 110 kW,1.5 TSI,benzín,Manual,56478.0,409900,2021.0,autojarov
Škoda,KAMIQ STYLE 81 kW,1.0 TSI,benzín,Manual,74567.0,429900,2022.0,autojarov
Škoda,OCTAVIA COMBI STYLE 110 kW DSG 4x4,2.0 TDI,nafta,Automatic,143576.0,499900,2021.0,autojarov
Škoda,KODIAQ L&K 147 kW DSG 4x4,2.0 TDI,nafta,Automatic,171731.0,729900,2022.0,autojarov
Škoda,SCALA STYLE 81 kW DSG,1.0 TSI,benzín,Automatic,22478.0,459900,2021.0,autojarov
Škoda,OCTAVIA COMBI SPORTLINE 110 kW D,1.5 TSI,benzín,Automatic,11818.0,839900,2024.0,autojarov
Volkswagen,Touran Highline 110 kW DSG,1.5 TSI,benzín,Automatic,179320.0,409900,2019.0,autojarov
Škoda,SCALA STYLE 110 kW,1.5 TSI,benzín,Manual,147599.0,389900,2023.0,autojarov
Škoda,SUPERB COMBI SELECTION 142 kW DS,2.0 TDI,nafta,Automatic,12764.0,979000,2024.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Advance 2025,1.5 I,hybrid,Automatic,0.0,674900,2026.0,autojarov
Volkswagen,Sharan Comfortline 6G,1.4 TSI,benzín,Manual,125392.0,619900,2021.0,autojarov
Škoda,KODIAQ Exclusive Selection 142 k,2.0 TDI,nafta,Automatic,18702.0,1219000,2025.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW,1.5 TSI,benzín,Manual,19498.0,639900,2025.0,autojarov
Škoda,OCTAVIA TOP SELECTION 110 kW,1.5 TSI,benzín,Manual,20982.0,679900,2025.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
